Vial,Line,Sex,pastrel_SNP,Infection_Duration,Infection_Day,Collection_Day,Viral Load,Viral Load per Fly,Threshold_InfectionPA,Virus Shed,Virus Shed per Fly,SheddingPA,Shed Plate,Shed Well
594,380,f,T,3,2,5,5783.008789,2168628.296,1,0,0,0,9,C10
595,380,f,T,3,3,6,0,0,0,0,0,0,10,C10
596,380,f,T,3,1,4,676.1847534,253569.2825,1,0,0,0,16,H8
597,380,f,T,3,2,5,0,0,0,NA,NA,NA,NA,NA
598,380,f,T,3,3,6,3535.895264,1325960.724,1,12.1650095,3041.252375,1,21,E8
599,380,f,T,3,1,4,0,0,0,0,0,0,9,E7
600,380,f,T,3,2,5,0,0,0,0,0,0,18,F7
601,380,f,T,2,3,5,0,0,0,4.934525967,1233.631492,1,4,F10
602,380,f,T,2,1,3,6267.037109,2350138.916,1,1.565853238,391.4633095,1,NA,NA
603,380,f,T,2,2,4,0,0,0,0,0,0,9,G6
604,380,f,T,2,3,5,0,0,0,0,0,0,16,A4
605,380,f,T,2,1,3,0,0,0,0,0,0,19,F11
606,380,f,T,2,2,4,0,0,0,0,0,0,19,G6
607,380,f,T,2,3,5,0,0,0,0,0,0,16,H9
608,380,f,T,2,1,3,0,0,0,0,0,0,9,G5
609,380,f,T,2,2,4,0,0,0,0,0,0,15,B4
610,380,f,T,2,3,5,0,0,0,0,0,0,13,D10
611,380,f,T,1,1,2,NA,NA,NA,18.23101997,4557.754993,1,4,C10
612,380,f,T,1,2,3,0.199997127,74.99892265,1,2.143855572,535.9638929,1,NA,NA
613,380,f,T,1,3,4,0,0,0,0.065493241,16.37331024,1,2,D9
614,380,f,T,1,1,2,NA,NA,NA,0,0,0,9,F7
615,380,f,T,1,2,3,4.612157822,1729.559183,1,0,0,0,14,A9
616,380,f,T,1,3,4,1260.144409,472554.1534,1,0,0,0,14,D10
617,380,f,T,1,1,2,4.856929302,1821.348488,1,0.210512295,52.62807384,1,18,C7
618,380,f,T,1,2,3,0.167614996,62.85562366,1,0,0,0,13,C8
